GID;"COD_CIRCUITO";"TURNO_HORARIO";X;Y
12094;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572155.6357794829;6140642.176312191
12095;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572262.8728561319;6140768.427054912
12112;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572171.6072589838;6140796.567280699
12113;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572621.0198836322;6140953.893484784
12150;"C_DU_RM_CL_05       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";575420.7165303462;6142254.730643787
12151;"C_DU_RM_CL_05       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";574869.9510178311;6142707.706641524
12161;"C_DU_RM_CL_05       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";574838.3925465982;6142199.999483697
12209;"C_DU_RM_CL_05       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";575624.3711797828;6142115.660738859
12211;"C_DU_RM_CL_05       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";574619.5521251825;6142036.841773958
12212;"C_DU_RM_CL_05       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";574783.1824534984;6142746.9434408005
12214;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571828.6007230355;6141354.808516584
12216;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571781.8297497588;6141672.650604304
12219;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572852.9700043867;6140798.970209207
12220;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571645.3089820964;6141483.340899234
10746;"B_DU_RM_CL_02       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574947.846423448;6138526.66208509
10750;"B_DU_RM_CL_01       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574381.0183845072;6138127.316194968
9818;"C_DU_RM_CL_10       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574456.00002299;6139807.00003828
9820;"C_DU_RM_CL_10       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574955.9220689138;6140037.851534375
9821;"C_DU_RM_CL_10       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574628.9675480636;6139976.60756403
9822;"C_DU_RM_CL_10       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574835.0228228263;6139774.848176437
9824;"B_DU_RM_CL_01       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";573973.4802891216;6138535.030102424
9825;"B_DU_RM_CL_01       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";573966.2748768753;6138630.936624047
9827;"B_DU_RM_CL_01       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";573728.74473524;6138077.859118518
9828;"C_DU_RM_CL_10       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574832.1212682122;6139768.682372883
9833;"B_DU_RM_CL_01       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574475.5552214433;6138560.689501518
9834;"C_DU_RM_CL_10       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";575057.9814811092;6140000.299846193
9835;"C_DU_RM_CL_10       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";575084.7335445511;6140056.91796988
9838;"C_DU_RM_CL_10       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574845.4751566363;6140308.109687746
9839;"B_DU_RM_CL_01       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574493.999895025;6138692.99987724
9854;"B_DU_RM_CL_01       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574068.8766479106;6138656.8716626
9953;"C_DU_RM_CL_15       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";575692.999960142;6141060.99987944
9954;"C_DU_RM_CL_15       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";575248.999959728;6141114.00007149
9976;"C_DU_RM_CL_09       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";573748.8680262737;6138759.845733928
9978;"C_DU_RM_CL_09       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574017.2024564531;6139132.6975567145
9979;"C_DU_RM_CL_09       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";574146.8532715519;6138926.813136046
